loss: 1.5880, acc: 0.3125, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5423, acc: 0.2344, test_acc: 0.2607, test_f1: 0.1378
loss: 1.6340, acc: 0.2500, test_acc: 0.2607, test_f1: 0.1378
loss: 1.6107, acc: 0.2109, test_acc: 0.2607, test_f1: 0.1378
loss: 1.6220, acc: 0.1812, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5500, acc: 0.1875, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5323, acc: 0.1920, test_acc: 0.2607, test_f1: 0.1378
loss: 1.4701, acc: 0.2031, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5566, acc: 0.2014, test_acc: 0.2607, test_f1: 0.1378
loss: 1.6138, acc: 0.2062, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5492, acc: 0.2102, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5999, acc: 0.2031, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5037, acc: 0.2115, test_acc: 0.2607, test_f1: 0.1378
loss: 1.4600, acc: 0.2121, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5217, acc: 0.2083, test_acc: 0.2607, test_f1: 0.1378
loss: 1.6206, acc: 0.2148, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5735, acc: 0.2077, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5336, acc: 0.2083, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5158, acc: 0.2105, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5352, acc: 0.2141, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5344, acc: 0.2113, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5265, acc: 0.2074, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5945, acc: 0.2052, test_acc: 0.2607, test_f1: 0.1378
loss: 1.4304, acc: 0.2031, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5145, acc: 0.2000, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5398, acc: 0.2007, test_acc: 0.2607, test_f1: 0.1378
loss: 1.4830, acc: 0.2002, test_acc: 0.2607, test_f1: 0.1378
loss: 1.5113, acc: 0.2009, test_acc: 0.2607, test_f1: 0.1378
loss: 1.4970, acc: 0.2015, test_acc: 0.2607, test_f1: 0.1378
loss: 1.4531, acc: 0.2031, test_acc: 0.2607, test_f1: 0.1378
loss: 1.4611, acc: 0.2056, test_acc: 0.2622, test_f1: 0.1401
loss: 1.5552, acc: 0.2090, test_acc: 0.3112, test_f1: 0.2153
loss: 1.4220, acc: 0.2188, test_acc: 0.5008, test_f1: 0.3163
