loss: 1.5078, acc: 0.0938, test_acc: 0.1750, test_f1: 0.0993
loss: 1.4929, acc: 0.1094, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5072, acc: 0.1250, test_acc: 0.1750, test_f1: 0.0993
loss: 1.6155, acc: 0.1172, test_acc: 0.1750, test_f1: 0.0993
loss: 1.4928, acc: 0.1187, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5575, acc: 0.1198, test_acc: 0.1750, test_f1: 0.0993
loss: 1.6030, acc: 0.1205, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5473, acc: 0.1211, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5861, acc: 0.1250, test_acc: 0.1750, test_f1: 0.0993
loss: 1.6103, acc: 0.1281, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5739, acc: 0.1307, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5985, acc: 0.1380, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5526, acc: 0.1442, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5295, acc: 0.1540, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5970, acc: 0.1521, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5371, acc: 0.1504, test_acc: 0.1750, test_f1: 0.0993
loss: 1.4512, acc: 0.1507, test_acc: 0.1750, test_f1: 0.0993
loss: 1.6054, acc: 0.1510, test_acc: 0.1750, test_f1: 0.0993
loss: 1.4926, acc: 0.1546, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5483, acc: 0.1547, test_acc: 0.1750, test_f1: 0.0993
loss: 1.6119, acc: 0.1548, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5235, acc: 0.1619, test_acc: 0.1750, test_f1: 0.0993
loss: 1.4453, acc: 0.1576, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5937, acc: 0.1602, test_acc: 0.1750, test_f1: 0.0993
loss: 1.4579, acc: 0.1663, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5299, acc: 0.1647, test_acc: 0.1750, test_f1: 0.0993
loss: 1.4721, acc: 0.1667, test_acc: 0.1750, test_f1: 0.0993
loss: 1.4772, acc: 0.1696, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5953, acc: 0.1724, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5583, acc: 0.1708, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5676, acc: 0.1704, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5173, acc: 0.1729, test_acc: 0.1750, test_f1: 0.0993
loss: 1.4096, acc: 0.1742, test_acc: 0.1750, test_f1: 0.0993
loss: 1.5265, acc: 0.1765, test_acc: 0.1821, test_f1: 0.1084
loss: 1.4128, acc: 0.1848, test_acc: 0.2991, test_f1: 0.2149
loss: 1.4996, acc: 0.1918, test_acc: 0.5411, test_f1: 0.2679
loss: 1.5328, acc: 0.2027, test_acc: 0.6232, test_f1: 0.2748
loss: 1.3999, acc: 0.2155, test_acc: 0.6339, test_f1: 0.2646
loss: 1.4053, acc: 0.2276, test_acc: 0.6402, test_f1: 0.2664
loss: 1.4700, acc: 0.2367, test_acc: 0.6446, test_f1: 0.2676
loss: 1.4473, acc: 0.2424, test_acc: 0.6464, test_f1: 0.2650
loss: 1.4755, acc: 0.2493, test_acc: 0.6464, test_f1: 0.2650
loss: 1.4427, acc: 0.2609, test_acc: 0.6482, test_f1: 0.2622
loss: 1.3967, acc: 0.2713, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3593, acc: 0.2806, test_acc: 0.6500, test_f1: 0.2626
