loss: 1.5088, acc: 0.3438, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5606, acc: 0.4688, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5581, acc: 0.5104, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4767, acc: 0.4844, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4885, acc: 0.4625, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5219, acc: 0.4740, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4689, acc: 0.4732, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4050, acc: 0.4844, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5524, acc: 0.4861, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4516, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5277, acc: 0.4972, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5434, acc: 0.5052, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5206, acc: 0.5024, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5673, acc: 0.4911, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4158, acc: 0.4917, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5110, acc: 0.4941, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5621, acc: 0.4908, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5059, acc: 0.4983, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4709, acc: 0.4967, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5385, acc: 0.4953, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4136, acc: 0.4940, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4704, acc: 0.5014, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5163, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5192, acc: 0.5013, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5396, acc: 0.5012, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4923, acc: 0.5036, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4975, acc: 0.5093, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5108, acc: 0.5067, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5462, acc: 0.5022, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5456, acc: 0.5021, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4443, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4379, acc: 0.4980, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5090, acc: 0.4972, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5170, acc: 0.4963, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4378, acc: 0.4946, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5094, acc: 0.4965, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4807, acc: 0.5008, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4472, acc: 0.4984, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5024, acc: 0.4944, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5749, acc: 0.4914, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5618, acc: 0.4931, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5005, acc: 0.4955, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5379, acc: 0.4971, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4145, acc: 0.4993, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4736, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3962, acc: 0.5034, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4607, acc: 0.5020, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4528, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4566, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4495, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4851, acc: 0.4988, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3881, acc: 0.5006, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4254, acc: 0.5035, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4022, acc: 0.5035, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4673, acc: 0.5028, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3926, acc: 0.5045, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4723, acc: 0.5022, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4143, acc: 0.5027, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3597, acc: 0.5058, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4365, acc: 0.5062, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4209, acc: 0.5056, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4163, acc: 0.5060, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4434, acc: 0.5060, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4679, acc: 0.5039, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4159, acc: 0.5038, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4063, acc: 0.5047, test_acc: 0.5000, test_f1: 0.2222
loss: 1.5096, acc: 0.5033, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4183, acc: 0.5046, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4150, acc: 0.5050, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3767, acc: 0.5062, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4290, acc: 0.5057, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4192, acc: 0.5052, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4314, acc: 0.5051, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4625, acc: 0.5034, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4303, acc: 0.5029, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4322, acc: 0.5012, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4004, acc: 0.5016, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4068, acc: 0.5024, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3841, acc: 0.5032, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3831, acc: 0.5047, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3489, acc: 0.5054, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3538, acc: 0.5072, test_acc: 0.5000, test_f1: 0.2222
