loss: 1.1079, acc: 0.3438, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0355, acc: 0.4688, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0252, acc: 0.5104, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0947, acc: 0.4844, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1236, acc: 0.4625, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0449, acc: 0.4740, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0845, acc: 0.4732, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9741, acc: 0.4844, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0638, acc: 0.4861, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9968, acc: 0.5031, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0584, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9940, acc: 0.5078, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0927, acc: 0.5048, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1268, acc: 0.4933, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0792, acc: 0.4958, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0490, acc: 0.4980, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1016, acc: 0.4945, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9930, acc: 0.5017, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0499, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0862, acc: 0.4984, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1054, acc: 0.4970, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9635, acc: 0.5043, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0465, acc: 0.5027, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0611, acc: 0.5039, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0878, acc: 0.5038, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0430, acc: 0.5060, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9994, acc: 0.5116, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0892, acc: 0.5089, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1236, acc: 0.5043, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0422, acc: 0.5042, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0905, acc: 0.5020, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0649, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0477, acc: 0.4991, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0812, acc: 0.4991, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0608, acc: 0.4973, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0197, acc: 0.4991, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9796, acc: 0.5034, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1135, acc: 0.5008, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1111, acc: 0.4968, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1043, acc: 0.4938, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0570, acc: 0.4954, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0175, acc: 0.4978, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0165, acc: 0.4993, test_acc: 0.5000, test_f1: 0.2222
